localminute,dataid,use,car1,gen
2015-05-01 00:00:00-05,624,0.26326666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-01 01:00:00-05,624,0.28411666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-01 02:00:00-05,624,0.29296666666666666667,0.00000000000000000000,-0.01603333333333333333
2015-05-01 03:00:00-05,624,0.25776666666666666667,0.00000000000000000000,-0.01630000000000000000
2015-05-01 04:00:00-05,624,0.28418333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-01 05:00:00-05,624,0.29183333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-01 06:00:00-05,624,0.47941666666666666667,0.00000000000000000000,-0.01390000000000000000
2015-05-01 07:00:00-05,624,0.27498333333333333333,0.00000000000000000000,0.05755000000000000000
2015-05-01 08:00:00-05,624,0.52140000000000000000,0.00000000000000000000,0.27425000000000000000
2015-05-01 09:00:00-05,624,0.52328333333333333333,0.00000000000000000000,0.76845000000000000000
2015-05-01 10:00:00-05,624,6.5598833333333333,6.2028500000000000,1.5784833333333333
2015-05-01 11:00:00-05,624,7.1050833333333333,6.6538500000000000,2.5866333333333333
2015-05-01 12:00:00-05,624,1.4438500000000000,1.0167166666666667,3.0051333333333333
2015-05-01 13:00:00-05,624,0.35573333333333333333,0.00000000000000000000,3.2886166666666667
2015-05-01 14:00:00-05,624,1.3064333333333333,0.91736666666666666667,3.2972000000000000
2015-05-01 15:00:00-05,624,1.6167333333333333,0.75880000000000000000,3.0698833333333333
2015-05-01 16:00:00-05,624,0.33788333333333333333,0.00026666666666666667,2.6667000000000000
2015-05-01 17:00:00-05,624,0.24541666666666666667,0.00000000000000000000,2.0155500000000000
2015-05-01 18:00:00-05,624,0.30630000000000000000,0.00000000000000000000,0.86540000000000000000
2015-05-01 19:00:00-05,624,0.45530000000000000000,0.00000000000000000000,0.08575000000000000000
2015-05-01 20:00:00-05,624,0.46315000000000000000,0.00000000000000000000,-0.01448333333333333333
2015-05-01 21:00:00-05,624,0.45701666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-01 22:00:00-05,624,0.26066666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-01 23:00:00-05,624,0.25110000000000000000,0.00000000000000000000,-0.01600000000000000000
2015-05-02 00:00:00-05,624,0.18916666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-02 01:00:00-05,624,0.22086666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-02 02:00:00-05,624,0.23150000000000000000,0.00000000000000000000,-0.01600000000000000000
2015-05-02 03:00:00-05,624,0.19690000000000000000,0.00000000000000000000,-0.01600000000000000000
2015-05-02 04:00:00-05,624,0.21553333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-02 05:00:00-05,624,0.22700000000000000000,0.00000000000000000000,-0.01600000000000000000
2015-05-02 06:00:00-05,624,0.51165000000000000000,0.00000000000000000000,-0.01346666666666666667
2015-05-02 07:00:00-05,624,0.34695000000000000000,0.00000000000000000000,0.06503333333333333333
2015-05-02 08:00:00-05,624,0.40990000000000000000,0.00000000000000000000,0.29466666666666666667
2015-05-02 09:00:00-05,624,0.36515000000000000000,0.00000000000000000000,0.77823333333333333333
2015-05-02 10:00:00-05,624,0.47128333333333333333,0.00000000000000000000,1.6165000000000000
2015-05-02 11:00:00-05,624,0.42695000000000000000,0.00000000000000000000,2.6091166666666667
2015-05-02 12:00:00-05,624,0.37808333333333333333,0.00000000000000000000,2.9976166666666667
2015-05-02 13:00:00-05,624,0.40926666666666666667,0.00000000000000000000,3.0179000000000000
2015-05-02 14:00:00-05,624,0.30766666666666666667,0.00000000000000000000,2.5580166666666667
2015-05-02 15:00:00-05,624,0.38868333333333333333,0.00000000000000000000,2.7012000000000000
2015-05-02 16:00:00-05,624,1.2468833333333333,0.00000000000000000000,2.1847166666666667
2015-05-02 17:00:00-05,624,0.28610000000000000000,0.00000000000000000000,2.1383166666666667
2015-05-02 18:00:00-05,624,0.30626666666666666667,0.00000000000000000000,0.77668333333333333333
2015-05-02 19:00:00-05,624,0.29458333333333333333,0.00000000000000000000,0.09260000000000000000
2015-05-02 20:00:00-05,624,0.48900000000000000000,0.00000000000000000000,-0.01410000000000000000
2015-05-02 21:00:00-05,624,0.60421666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-02 22:00:00-05,624,0.57820000000000000000,0.00000000000000000000,-0.01600000000000000000
2015-05-02 23:00:00-05,624,0.35583333333333333333,0.00000000000000000000,-0.01611666666666666667
2015-05-03 00:00:00-05,624,0.26456666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-03 01:00:00-05,624,0.26303333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-03 02:00:00-05,624,0.26663333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-03 03:00:00-05,624,0.25838333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-03 04:00:00-05,624,0.24618333333333333333,0.00000000000000000000,-0.01600000000000000000
2015-05-03 05:00:00-05,624,0.27666666666666666667,0.00000000000000000000,-0.01600000000000000000
2015-05-03 06:00:00-05,624,0.33510000000000000000,0.00000000000000000000,-0.01315000000000000000
2015-05-03 07:00:00-05,624,0.56890000000000000000,0.00000000000000000000,0.10131666666666666667
2015-05-03 08:00:00-05,624,1.1618166666666667,0.78773333333333333333,0.31108333333333333333
2015-05-03 09:00:00-05,624,3.5875166666666667,3.1544333333333333,0.81081666666666666667
2015-05-03 10:00:00-05,624,1.1134666666666667,0.77681666666666666667,1.6483833333333333
