localminute,dataid,use,car1,gen
2016-05-01 00:00:00-05,26,1.1325500000000000,0.00500000000000000000,0.00315000000000000000
2016-05-01 01:00:00-05,26,1.5163166666666667,0.00500000000000000000,0.00363333333333333333
2016-05-01 02:00:00-05,26,1.0937500000000000,0.00500000000000000000,0.00300000000000000000
2016-05-01 03:00:00-05,26,0.65093333333333333333,0.00500000000000000000,0.00160000000000000000
2016-05-01 04:00:00-05,26,0.60330000000000000000,0.00500000000000000000,0.00153333333333333333
2016-05-01 05:00:00-05,26,0.55218333333333333333,0.00500000000000000000,0.00165000000000000000
2016-05-01 06:00:00-05,26,1.1558666666666667,0.00500000000000000000,0.00296666666666666667
2016-05-01 07:00:00-05,26,0.70885000000000000000,0.00500000000000000000,0.24418333333333333333
2016-05-01 08:00:00-05,26,0.71235000000000000000,0.00500000000000000000,0.65700000000000000000
2016-05-01 09:00:00-05,26,1.1536000000000000,0.00500000000000000000,0.72115000000000000000
2016-05-01 10:00:00-05,26,1.8607166666666667,0.27133333333333333333,0.71865000000000000000
2016-05-01 11:00:00-05,26,4.0338833333333333,3.4340500000000000,0.86048333333333333333
2016-05-01 12:00:00-05,26,1.5172166666666667,1.1634833333333333,1.9466166666666667
2016-05-01 13:00:00-05,26,0.45991666666666666667,0.00500000000000000000,2.4186833333333333
2016-05-01 14:00:00-05,26,0.44643333333333333333,0.00500000000000000000,1.9185666666666667
2016-05-01 15:00:00-05,26,0.37810000000000000000,0.00500000000000000000,1.8321000000000000
2016-05-01 16:00:00-05,26,0.51590000000000000000,0.00500000000000000000,2.2446833333333333
2016-05-01 17:00:00-05,26,0.91766666666666666667,0.00500000000000000000,1.6404500000000000
2016-05-01 18:00:00-05,26,1.0517000000000000,0.00500000000000000000,0.65473333333333333333
2016-05-01 19:00:00-05,26,1.5485000000000000,0.00500000000000000000,0.17061666666666666667
2016-05-01 20:00:00-05,26,2.9777500000000000,0.00500000000000000000,0.00920000000000000000
2016-05-01 21:00:00-05,26,1.6164500000000000,0.00500000000000000000,0.00066666666666666667
2016-05-01 22:00:00-05,26,1.3964833333333333,0.00500000000000000000,0.00146666666666666667
2016-05-01 23:00:00-05,26,1.8825000000000000,0.00500000000000000000,0.00303333333333333333
2016-05-02 00:00:00-05,26,0.49861666666666666667,0.00500000000000000000,-0.00035000000000000000
2016-05-02 01:00:00-05,26,1.0276000000000000,0.00500000000000000000,0.00145000000000000000
2016-05-02 02:00:00-05,26,0.41936666666666666667,0.00500000000000000000,0.00083333333333333333
2016-05-02 03:00:00-05,26,0.52545000000000000000,0.00500000000000000000,0.000083333333333333333333
2016-05-02 04:00:00-05,26,0.46625000000000000000,0.00500000000000000000,-0.000050000000000000000000
2016-05-02 05:00:00-05,26,0.34958333333333333333,0.00500000000000000000,0.00031666666666666667
2016-05-02 06:00:00-05,26,0.75813333333333333333,0.00500000000000000000,-0.00098333333333333333
2016-05-02 07:00:00-05,26,1.1814333333333333,0.00660000000000000000,0.09681666666666666667
2016-05-02 08:00:00-05,26,0.94395000000000000000,0.00500000000000000000,0.37841666666666666667
2016-05-02 09:00:00-05,26,0.31561666666666666667,0.00500000000000000000,0.83853333333333333333
2016-05-02 10:00:00-05,26,0.38241666666666666667,0.00500000000000000000,0.97540000000000000000
2016-05-02 11:00:00-05,26,0.42120000000000000000,0.00500000000000000000,0.97361666666666666667
2016-05-02 12:00:00-05,26,0.33510000000000000000,0.00500000000000000000,1.5410666666666667
2016-05-02 13:00:00-05,26,0.31870000000000000000,0.00500000000000000000,3.0022333333333333
2016-05-02 14:00:00-05,26,0.40150000000000000000,0.00500000000000000000,2.0330833333333333
2016-05-02 15:00:00-05,26,0.33601666666666666667,0.00500000000000000000,1.5534500000000000
2016-05-02 16:00:00-05,26,0.36755000000000000000,0.00500000000000000000,0.98956666666666666667
2016-05-02 17:00:00-05,26,0.41846666666666666667,0.00500000000000000000,0.63910000000000000000
2016-05-02 18:00:00-05,26,0.47926666666666666667,0.00500000000000000000,0.40400000000000000000
2016-05-02 19:00:00-05,26,0.45961666666666666667,0.00500000000000000000,0.12561666666666666667
2016-05-02 20:00:00-05,26,1.0707833333333333,0.00500000000000000000,0.00058333333333333333
2016-05-02 21:00:00-05,26,1.2002333333333333,0.00500000000000000000,0.00435000000000000000
2016-05-02 22:00:00-05,26,1.0630666666666667,0.00500000000000000000,0.00558333333333333333
2016-05-02 23:00:00-05,26,0.55151666666666666667,0.00500000000000000000,0.00126666666666666667
2016-05-03 00:00:00-05,26,0.54100000000000000000,0.00500000000000000000,0.000016666666666666666667
2016-05-03 01:00:00-05,26,0.41503333333333333333,0.00500000000000000000,0.00026666666666666667
2016-05-03 02:00:00-05,26,0.40620000000000000000,0.00500000000000000000,0.00056666666666666667
2016-05-03 03:00:00-05,26,0.54215000000000000000,0.00500000000000000000,-0.000066666666666666666667
2016-05-03 04:00:00-05,26,0.46368333333333333333,0.00500000000000000000,0.000100000000000000000000
2016-05-03 05:00:00-05,26,0.41586666666666666667,0.00500000000000000000,0.00063333333333333333
2016-05-03 06:00:00-05,26,0.66976666666666666667,0.00500000000000000000,-0.00111666666666666667
2016-05-03 07:00:00-05,26,1.0549666666666667,0.00500000000000000000,0.17591666666666666667
2016-05-03 08:00:00-05,26,0.33646666666666666667,0.00500000000000000000,1.0698166666666667
2016-05-03 09:00:00-05,26,0.30550000000000000000,0.00500000000000000000,2.3699333333333333
2016-05-03 10:00:00-05,26,0.39163333333333333333,0.00500000000000000000,3.2983500000000000
